,moves,explanation
1916,e4 e5 d4 exd4 Nf3 d5 exd5 Qxd5 Qxd4 Qxd4 Nxd4 Nc6 Nb5 Bd6 Nxd6+ cxd6 Bf4 Ne5 Nc3 Be6 O-O-O O-O-O Nb5 d5 Bxe5 f6 Nxa7+ Kd7 Bg3 Ne7 Bb5+ Nc6 Rhe1 Rhe8 f3 Ra8 Nxc6 bxc6 Bd3 Rxa2 c3 Rea8 Re3 d4 cxd4 Bb3 Rde1 Ra1+ Kd2 R1a2 Re7+ Kc8 Re8+ Kb7 R1e7+ Kb6 Bc7+ Kb7 Ba5#,
1917,d4 d5 c4 dxc4 Nc3 Bf5 Qa4+ Nc6 d5 Bd7 dxc6 Bxc6 Qxc4 e6 Nb5 a6 Nd4 Bb5 Nxb5 axb5 Qxb5+ c6 Qxb7 Rc8 e3 Bd6 Ba6 Rc7 Qb3 Nf6 Bd2 O-O Ba5 Qa8 Bxc7 Bxc7 Qc4 Ba5+ b4 Bb6 Nf3 Qa7 Ne5 Bxe3 O-O Bd4 Nxc6 Qb6 Nxd4 Rd8 Nc6 Rd6 Ne7+ Kh8 Qc8+ Rd8 Qc6 Qa7 Rad1 Qxe7 Rxd8+ Qxd8 Rc1 h6 h3 Kh7 Qc2+ g6 Bd3 Kg7 g4 Qd4 Rd1 Qxb4 g5 hxg5 Be2 Qa3 Rd3 Qa5 Qb2 Qe1+ Bf1 Qe4 Re3 Qf5 Bd3 Qc5 Rf3 Qe7 h4 gxh4 Bxg6 fxg6 Rh3 g5 Qe2,
1918,d3 e5 e4 Nc6 Be3 Nf6 g3 h6 Bg2 d6 Ne2 a6 O-O Be6 c4 Ne7 a3 c6 f4 exf4 Nxf4 Bg4 Qc2 Rc8 b4 d5 e5 Nd7 d4 Bf5 Qb3 dxc4 Qc3 b5 a4 Nb6 a5 Nbd5 Nxd5 cxd5 Nd2 Bd3 Rf2 Nf5 Bf4 g5 Nb3 gxf4 Nc5 Bxc5 bxc5 fxg3 hxg3 Nxg3 Bh3 Qh4 Kh2 Ne4 Qe1 Nxf2 Qe3 Ng4+,
1919,e4 e5 f4 Nc6 Bc4 exf4 Nf3 Be7 O-O Nf6 e5 Bc5+ d4 Nxd4 Nxd4 d5 Bb5+ c6 exf6 cxb5 Re1+ Be6 Bxf4 Qxf6 Be5 Qg6 Kh1 O-O c3 f6 Bd6 Bg4 Nf3 Bxf3 Qxf3 Bxd6 Qxd5+ Kh8 Qxd6 Rad8 Qg3 Qc2 a4 Qxb2 Na3 a6 Reb1 Qe2 axb5 Rd3 Qe1 Qh5 bxa6 Re8 Qf1 Rd7 Rxb7 Rdd8 a7 Qd5 Rb8 Rxb8 axb8=Q Rxb8 Rd1 Qc5 Nb5 h6 Nd6 Kh7 Qd3+ g6 Ne4 Qe7 Qh3 Rb7,
1920,e4 e5 Nf3 Nc6 Bc4 Bc5 b4 Bxb4 c3 Ba5 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 e5 Ne4 Qf3 d5 Bb3 O-O O-O Kh8 Bf4 f5 c4 Be6 Na3 Qe7 Rfd1 Qxa3 cxd5 cxd5 Rxd5 Qb2 Rad1 Bxd5 Rxd5 Rad8 h4 Rxd5 Bxd5 Nxf2 e6 Ng4 Bb3 Bb6+ Kf1 Nh2+ Bxh2 Qc1+ Qd1 Qc6 Be5 Qc5 Qf3 Qg1+ Ke2 f4 e7 Re8 Bxg7+ Kxg7 Qg4+ Kf6 Qg5#,
1921,d4 d5 Nf3,
1922,e4 g6 d4 Bg7 e5 d6 Nf3 dxe5 d5 e4 Ng5 e6 Bc4 Ne7 Nxf7 Kxf7 dxe6+ Bxe6 Bxe6+ Kxe6 Nd2 Nd7 Qg4+ Kf7 Qxe4 Re8 O-O Nc5 Qc4+ Qd5 b4 Qxc4 Nxc4 Ne4 Rb1 Nc3 Bb2 Nxb1 Bxg7 Kxg7 Rxb1 Nd5 b5 Nc3 Ra1 Nxb5 a4 Nd6 Na5 Rad8 h4 Re2 c4 Rde8 Ra3 Re1+ Kh2 R1e5 Rb3 b6 Nc6 Rh5 g3 g5 Nxa7 gxh4 Kh3 Nxc4 Nb5 Na5 Rb4 c6 Rg4+ Kh6 Nd6 Re2 Nf7#,
1923,e4 c5 Nc3 Nc6 Nge2 e6 g3 d5 exd5 exd5 Nb5 a6 Nbc3 d4 Ne4 Qd5 d3 Be7 Nf4 Qe5 Bg2 Nf6 O-O Bg4 f3 Bf5 Nxf6+ Qxf6 Nd5 Qd6 f4 O-O Bd2 Be6 Qf3 Nb4 c3 Nxd5 c4 Nf6 a3 Rab8 b4 b5 bxc5 Qxc5 Bb4 Qa7 f5 Bxb4 axb4 Bxc4 dxc4 d3+ Rf2 bxc4 Rd1 Rfd8 h4 c3 Qc6 c2 Rxd3 Rxd3 Qc5 Qxc5 bxc5 c1=Q+ Kh2 Ng4+,
1924,Nf3 e5 d4 e4 Nfd2 d5 f3 Bf5 fxe4 Bxe4 Nxe4 dxe4 d5 Bd6 Qd4 Nf6 e3 O-O Be2 c5 Qc4 a6 Bd2 Qe7 Rf1 Ng4 Bxg4 b5 Qc3 Bxh2 Rh1 Qh4+ g3 Bxg3+ Kf1 Qxh1+ Ke2 Qh4 Bc8,
1925,e4 e6 d4 d5 e5 c5 Bb5+ Nc6 Nf3 Qa5+ Nc3 cxd4 Nxd4 Bb4 Bxc6+ bxc6 Bd2 c5 Nc6 Qc7 Nxb4 cxb4 Nb5 Qxe5+ Be3 Nf6 O-O O-O Bd4 Qg5 Nd6 Ba6 Re1 Rfd8 Bxf6 Qxf6 Nxf7 Qxf7 Qg4 Re8 a3 bxa3 Rxa3 Bc4 b3 Bb5 c4 dxc4 bxc4 Bc6 Ra6 Bd7 Rd6 Rab8 c5 Qf5 Qd4 Bb5 c6 Rbc8 Rd7 Bxc6 Qxg7#,
1926,e4 e5 d3 d5 Qh5 Qf6 exd5 g6 Qf3 Bc5 Qxf6 Nxf6 Nf3 Nxd5 Nxe5 Nb4 Kd1 f6 Ng4 Bxg4+ Be2 Bxe2+ Kxe2 N8c6 Na3 O-O-O Re1 Nd5 Kf1 Bxa3 bxa3 Nc3 Bb2 Nd5 c4 Nf4 Bxf6 Rxd3 Bxh8 Rxa3 Re8+ Kd7 Rae1 Nd4 Bxd4 Nd3 R1e3,
1927,e4 e6 d4 b6 Nf3 Nc6 Nc3 Bb4 Bd2 Bb7 d5 exd5 Nxd5 Bxd2+ Qxd2 Nce7 Bc4 Nf6 e5 Ne4 Qf4 Nc5 Qg5 g6 Qf6 Rg8 Ng5 Nxd5 Qxf7#,
1928,d4 e6 c3 d5 b4 Qf6 g4 b6 f3 g5 a3 Bb7 Nh3 Nc6 Nxg5 h6 Nh3 Qh4+ Nf2 O-O-O Bg2 e5 dxe5 Nxe5 O-O Nc4 Qd4 f6 Nd2 Ne7 Nxc4 Bg7 Nxb6+ axb6 Bb2 Rhg8 a4 f5 Qd1 fxg4 fxg4,
1929,d4 d5 Nf3 e5 Nxe5 f6 Nf3 Bb4+ Bd2 Qd6 a3 Bxd2+ Nbxd2 Nc6 c4 dxc4 e3 Bg4 Bxc4 O-O-O h3 Bxf3 Nxf3 h5 h4 Nge7 O-O g5 hxg5 h4 gxf6 Qxf6 Re1 h3 Kh2 Qd6+ g3 Nf5 Ne5 Rde8 Qg4 Nxe5 Qxf5+ Nd7 f4 Qc6 Be6 Qg2#,
1930,e4 e6 d4 d5 e5 c5 Bg5 Qxg5 Nf3 Qd8 Bb5+ Bd7 Qd3 Qa5+ Nc3 c4 Bxd7+ Nxd7 Qd2 Bb4 O-O Ne7 a3 Bxc3 bxc3 Nf5 Qg5 Qxc3 g4 Qxf3 gxf5 f6 Qxg7 O-O-O Qg3 Rhg8 Qxg8 Rxg8#,
1931,e4 e5 Bc4 Nc6 Nf3 Bc5 d3 d6 Ng5 Nh6 Qf3 O-O O-O Bg4 Qg3 Nd4 h3 Ne2+ Kh2 Nxg3 fxg3 Bh5 g4 Bg6 a3 c6 b4 Bb6 a4 d5 exd5 cxd5 a5 Bc7 Bb5 f6 Ne6 Qd6 Nxf8 Rxf8 Bxh6 gxh6 Nc3 e4+ Kh1 Qh2#,
1932,e4 d5 e5 d4 Qf3 Be6 c3 dxc3 bxc3 g6 d4 Bg7 Qxb7 Nd7 Bb5 Rb8 Qa6 Nh6 Bxh6 Bxh6 Nf3 O-O O-O c5 d5 Bxd5 Nbd2 Nxe5 Nxe5 Bxd2 Bc6 Bxc3 Bxd5 Bxe5 Rad1 e6 Bxe6 Qe7 Bd5 Rb6 Qc4 Rb4 Qe2 Bxh2+ Kxh2 Qxe2 Rfe1 Rh4+ Kg1 Qxa2 Bxa2 a6 Rc1 Rc8 Re7 Rf8 Rxc5 Rb8 g3 Rg4 Rcc7 Rf8 Bxf7+ Kh8 Be6 Rg8 Rxh7#,
1933,e4 b6 d4 Bb7 d5 d6 Nc3 e5 dxe6 fxe6 Bc4 Nd7 Bxe6 Qe7 Bxg8 Rxg8 Qh5+ g6 Qg4 Nf6 Bg5 Nxg4 Bxe7 Bxe7 Nh3 O-O-O O-O-O Rdf8 Rhe1 Nxf2 Nxf2 Rxf2 Nd5 Bg5+ Kb1 Rxg2 e5 Re8 e6 Bd2 Nf6 Bc6 Nxe8 Bxe1 Rxe1 Bxe8 e7 Kd7,
1934,e4 e5 d4 exd4 Qxd4 Nc6 Qc4 d6 Bf4 Be6 Nc3 Bxc4,
1935,e4 e5 Nf3 d6 Bc4 Bg4 O-O Qf6 Be2 Nc6,
1936,e4 e5 Nf3 d6 d4 Be7 dxe5 dxe5 Qxd8+ Bxd8 Nxe5 Nf6 Bf4 O-O Bc4 Nxe4 Bxf7+ Rxf7 O-O Rf8 Nd2 Rxf4 g3 Rf5 Nxe4 Rxe5 Rfe1 Bf5 f3 Bxe4,
1937,e4 e6 d4 d5 e5 Nc6 Bb5 Bd7 Bxc6 Bxc6 Nf3 f6 Bf4 fxe5 Bxe5 Bd6 O-O Bxe5 Nxe5 Nf6 Nxc6 bxc6 Nc3 O-O Ne2 Ng4 Nf4 Rxf4 g3 Rxf2 Rxf2 Nxf2 Kxf2 Qf6+ Qf3 Qxd4+ Kg2 Rf8 Qe2 Qxb2 Rf1 Rxf1 Qxf1 Qxc2+ Kg1 Qxa2 Qc1 Qc4,
1938,e4 e5 Bc4 h6 Nf3 Nc6 Bb5 Nd4 Bc4 d6 O-O Bg4 h3 Nxf3+ gxf3 Bxh3 Re1 Qg5+,
1939,e4 e5 Nf3 d6 d4 Bg4 dxe5 Bxf3 Qxf3 dxe5 Bc4 Bc5 Qxf7#,
1940,e4 e5 f4 d6 Nf3 Bg4 Bc4 h6 O-O Nc6 c3 Nf6 d4 Nxe4 fxe5 dxe5 dxe5 Nxe5 Qa4+ c6 Nxe5 Bc5+ Kh1 Nf2+ Kg1 Nd3+ Kh1 Nxe5 Bxf7+ Nxf7 Qxg4 O-O Bf4 Ng5 b4 Be3 Na3 Bxf4 Rxf4 Rxf4 Qxf4 Qd3 h4 Qxc3 hxg5 Qxa1+ Kh2 Rf8 Qc4+ Kh8 Nc2 Qe5+ Kg1 Qxg5 a4 Qc1+ Kh2 Rf4 Qe6 Qxc2 Qe8+ Kh7,
1941,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 h6 Nc3 Nf6 Nd5 Nxd5 exd5 Nd4 Nxe5 Qe7 Bf4 d6 O-O dxe5 Bxe5 O-O Bxd4 Bxd4 c3 Bf6 f4 b5 Bxb5 Qc5+ d4 Qxb5 a4 Qxb2 c4 Qxd4+ Qxd4 Bxd4+,
1942,Nf3 e6 c4 d5 cxd5 Qxd5 d4 Nc6 g3 Bb4+ Nc3 Bxc3+ bxc3 Nf6 Bg2 Ne4 O-O Nxc3 Qd3 Nxa2 Bb2 Nab4 Qd2 a5 Ne5 Nxe5 Bxd5,
1943,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Qf3 Qxg5 Bxd5 Qf6 Bxc6+ bxc6 Qxf6 gxf6 O-O Bf5 d3 O-O-O f4 e4 dxe4 Bxe4 Nc3 Bxc2 Be3 Bd3 Rac1 Bxf1 Kxf1 Bg7 Bxa7 f5 Na4 Kb7 Bf2 Rd2 Rb1 Rhd8 Ke1 Rxf2 Kxf2 Rd2+ Ke3 Rxg2 a3,
1944,e4 c5 Nf3 Nc6 Bb5 e6 O-O Nge7 d4 Ng6 d5 exd5 exd5 Bd6 dxc6 dxc6 Re1+ Be6 Bc4 Qd7 Bxe6 fxe6 Ng5 O-O Rxe6 Bxh2+ Kh1 Qxd1+ Kxh2 Qxc1 Nf3 Rae8 Rxe8 Rxe8 Nfd2 Qxc2,
1945,e4 d5 exd5 Qxd5 Nf3 Qd8 d4 c6 Bc4 Bf5 O-O e6 Bg5 Qc7 g3 Bd6 Nc3 Ne7 Nh4 Bg6 a3 Nd7 Bxe7 Bxe7 Nf3 Bh5 b4 O-O-O Ne5 Bxd1 Raxd1 Nxe5 dxe5 Qxe5 Rxd8+ Rxd8,
1946,g3,
1947,e4 c5 Nf3 Nc6 Bb5 d5 exd5 Qxd5 d4 cxd4 Bxc6+ bxc6 O-O Bg4 Nbd2 e5 c4 Qe6 Qa4 e4 Re1 Bxf3 Nxf3 Qg6 Nxd4 Ne7 c5 h5 h4 Qh7 Bg5 f6 Ne6 fxg5 Nc7+ Kf7 Nxa8 gxh4 Rxe4 h3 g3 g5 Qc4+ Kg7 Qd4+ Kg8 Rae1 Bg7 Qd8+,
1948,e4 e5 f4 Nc6 Nf3 exf4 d4 g5 h4 g4 Ng5 h6 Nxf7 Kxf7 Bc4+ Ke8 Qxg4 d5 Qg6+ Kd7 Bxd5 Nce7 Qe6+ Ke8 Qf7+ Kd7 Be6+ Kc6 d5+ Kd6 Bxf4+ Kc5 Bxc8 Rxc8 Nc3 Bg7 Qxg7,
1949,e4 e5 Nf3 Nc6 d3 Bc5 Ng5 Nf6 Be2 O-O Bh5 d6 Nc3 Be6 Nd5 Bxd5 exd5 Ne7 c4 Ng6 O-O a6 Bxg6 fxg6 Qf3 Nh5 Qe4 Qf6 Ne6 Rf7 Bg5 Qf5 h4 Qxe4 dxe4 Nf4 Bxf4 exf4 Ng5 Re7 a3 h6 Ne6 Ba7 b4 c6 c5 cxd5 exd5 dxc5 bxc5 Rf7 d6 Rf5 d7 Bxc5 d8=Q+ Rxd8 Nxd8 b6 Rae1 Kf8 Ne6+ Kf7 Nxc5 Rxc5 Rc1 Ra5 Rc3 Rf5 Rc6 Rb5 f3 a5 a4 Rb4 Rd1 Rxa4 Rd7+ Kg8 Rc8+ Kh7 Rcc7 Ra1+ Kh2 a4 Rxg7+ Kh8 Rh7+ Kg8 Rcg7+ Kf8 Ra7 b5 Rh8#,
1950,e4 e5 Nf3 f6 Bc4 g6 d4 Qe7 d5 Bg7 O-O f5 exf5 gxf5 Nxe5 Qxe5 Re1,
1951,e4 e5 Bc4 d6 Nf3 Bg4 O-O Bxf3 Qxf3 Qf6 Qg3 Nd7 Nc3 Nc5 Nd5 Qd8 d3 c6 Nc3 Be7 Qxg7 Bf6 Qxf7#,
1952,e4 e5 f4 exf4 d4 Qh4+ g3 fxg3 Nf3 Qg4 h3 Qh5 Ng5 Qxd1+ Kxd1 h6 Nxf7 Kxf7 Bf4 d6 c4 Nf6 Nc3 Bd7 c5 dxc5 dxc5 Bxc5 Nd5 Nc6 Rc1 Rac8 Rxc5 Nxe4 Rb5 g5 Bxc7 b6 Bc4 Na5 Bb3 Bxb5 Be5 Nxb3 axb3 Rcd8 Rf1+ Ke6 Bxh8 Rxd5+ Ke1 g2 Rg1 Rd8 Bg7 Bf1 Bxh6 a5 Bxg5 b5 Bxd8 Nc5 Bxa5 Nxb3 Bb4 Nd4 h4 Nc2+ Kd2 Nxb4 Kc3 Na6 h5 Kf7 b4 Kg8 Kd2 Kh7 Ke1 Kh6 Rxf1 gxf1=Q+ Kxf1 Kxh5 Ke1 Nxb4 Kd1 Kg5 Kc1 Kf5 Kb2 Ke5 Kb3 Na6 Ka3 Kd5 Kb3 Kc5 Kc3 b4+ Kb3 Nc7 Ka4 Kc4 Ka5 b3 Ka4 b2 Ka3 Kc3 Ka2 Kc2 Ka3 b1=Q Ka4 Kc3 Ka5 Qb5#,
1953,e4 d5 exd5 Qxd5 Qf3 Qe5+ Be2 Nc6 Nh3 Nd4 Qe3 Nxc2+,
1954,e4 e5 Bc4 d6 Nf3 Nh6 d3 Ng8 Ng5 Be6 Qf3 Nf6 Bxe6 fxe6 Nxe6 Qe7 Nxf8 Qxf8 O-O h5 Bg5 Nbd7 Nc3 c6 Rad1 a6 d4 Rb8 dxe5 dxe5 Rd3 Qf7 Rfd1 Rd8 Bxf6 Qxf6 Qh3 Qf7 Rd6 Rf8 Re6+,
1955,e4 d6 Bc4 g6 Qf3 Be6 d4 Bxc4 Nh3 h6 Nc3 Nc6 d5 Nd4 Qe3 Nxc2+,
1956,e4 d5,
1957,e4 e5 Nf3 d5 Nxe5 dxe4 Qe2 f6 Nc4 Be6 Qxe4 Qe7 Bd3 Bxc4 Qxe7+ Nxe7 Bxc4 Nbc6 d3 Ne5 Bf4 Nxc4 dxc4 O-O-O Nc3 Nf5 O-O Bb4 Nd5 g5 Bxc7 b5 Bxd8 Rxd8 Nxb4,
1958,e4 e5 Nf3 d5 exd5 Qxd5 Nc3 e4 Nxd5,
1959,e4 e5 Bc4 Nf6 d3 Bb4+ Bd2 Bf8 Nf3 Nc6 Bg5 h6 Bxf6 Qxf6 O-O Qd8 d4 Na5 Bd5 c6 Bxf7+ Kxf7 Nxe5+ Ke8 Qh5+ Ke7 Qf7+ Kd6 Qg6+ Kc7 d5 cxd5 exd5 d6 Qf7+ Be7 Ng6 Re8 b4 Nc4 Nc3 Ne5 Nb5+ Kb6 Nxe5 dxe5 Nc3 Rf8 Qg6+ Rf6 Qd3 Bf5 Qb5+ Kc7 Qc4+ Kd6 Nb5+ Kd7 d6 Bf8 Nc7 Rc8 Qb5+ Kxd6 Nd5 a6 Qb6+ Kxd5 Rfd1+ Kc4 Rxd8 Rxd8 Qe3 Bxb4 Qe2+ Kc3 Rd1 Rh8 Qd3+ Kb2 Qb3#,
1960,e4 e5 Nf3 d6 c3 Bg4 d4 Nf6 dxe5 Nxe4 Qa4+ Nc6 Qxe4 Nxe5 Nxe5 f5 Qd4 Qe7 Bb5+ c6 Be2 dxe5 Qc4 Bxe2 Qxe2 O-O-O O-O f4 f3 g5 h3 h5 Na3 g4 hxg4 hxg4 fxg4 Qh4 b4 Qh2+ Kf2 Qg3+ Kg1 Re8 Qf3 Qh2+ Kf2 e4 Qxf4 Qxf4+ Bxf4 e3+ Bxe3 Bd6 Rae1,
1961,e4 e5,
1962,e3 e5,
1963,e3 d5 d3 Nc6 Qh5 Be6 Qxh7 Rxh7,
1964,e3 e5 d3 d5 Be2 f5 Bd2 Nf6 Nf3 Nc6 Nc3 e4 O-O exf3 Bxf3 a6 Rb1 Be7 h3 O-O a3 h6 Bh5 Nxh5 g4 Nf6 gxf5 Bxf5 Kg2 Bd6 Qg4 Bxg4 f3 Bh5 Ne4 dxe4 dxe4 Qe8 Ba5 Qg6+ Kf2 Nxe4+ Ke2 Ng3+ Kf2 Rxf3+ Ke1 Rxf1+ Kd2 Ne4+ Kd3 Nc5+ Kd2 Qg2+ Kc3 Be5+ Kc4 Qxc2+ Kd5 Bf3+ e4 Bxe4#,
1965,e3 c5 d3 e5,
1966,e3 e5,
1967,e3 e6,
1968,e3 e5,
1969,b4 d6 Bb2 e6 a3,
1970,e4 d6 d4 e6 Nf3 Bd7 Nc3 Be7 e5 Nc6 exd6 cxd6 d5 Rb8 dxc6,
1971,e3 d6 d3 Nc6 Be2 Nf6 Bd2 Bd7 Nf3 e5 Nc3 Qe7 O-O Ng4 Rb1 O-O-O h3 h5 hxg4 hxg4 Ne1 Qh4 f3 g3 Rc1 Qh2#,
1972,e3 e5 d3 d5 Be2 Nf6 Bd2 Nc6 Nf3 Bg4 Nc3 d4 exd4 Bxf3 Bxf3 Nxd4 Bxb7 Rb8 Bf3 Bb4 a3 Bxc3 Bxc3 O-O Bc6 Nxc6 O-O Nd4 Kh1 e4 dxe4 Nxe4 Bxd4 f5 Rg1 Qf6 Bxf6 Nxf2#,
1973,d4 d6 c4 e6 e4 Bd7 Nf3 Be7 Nc3 Nc6 g3 Nf6 Bg2 O-O O-O Rb8 d5 Na5 Nd2 Nxc4 Nxc4 exd5 Nxd5 Be6 Nxe7+ Qxe7 b3 Qd8 e5 dxe5 Nxe5 g5 Bxg5 h6 Bxh6 Qc8 Bxf8 Qxf8 Rc1 Qc8 Re1 Qd8 Qxd8+ Rxd8 Rcd1 Rf8 Bxb7 Nh7 Nd7 Rd8 Nf6+ Kh8 Rxd8+ Kg7 Nxh7 Kxh7 Bd5 Bxd5 Rxd5 f6 Rd7+ Kg8 Rxc7 Kf8 Rxa7 f5 Re5 Kg8 Re8#,
1974,e3 e5 d3 d5 Be2 Nf6 Bd2 Nc6 Nf3 e4 dxe4 dxe4 Ng1 Bc5 Bb5 Bd7 f3 exf3 gxf3 a6 Bf1 O-O e4 b5 Qe2 Nd4 Qd1 a5 Nc3 c6 Nb1 Qb6 e5 Nd5 Ne2 Nxe2 Qxe2 Rae8 Qd1 Bf2+ Ke2 Rxe5+ Kd3 Bf5#,
1975,f4 d6 e4 e6 d4 Bd7 Nf3 Be7 Bd3 Nc6 O-O Nf6 c3 O-O Kh1 Rb8 Be3 a6 Nbd2 h6 Qc2 d5 e5 Ne8 f5 f6 fxe6 Bxe6 Nh4 Bg4 Bh7+ Kf7 Qg6+ Ke6 Qxg4+ Kf7 e6#,
1976,e3 e5 d3 d5 Be2 d4 Bd2 dxe3 Bxe3 h6 Bd2 Nf6 Nf3 e4 dxe4 Nxe4 Nc3 Nxc3 bxc3 Bg4 h3 Bxf3 gxf3 Qh4 Be3 Nd7 a4 O-O-O a5 Ne5 a6 Rxd1+ Kxd1 b6 Ke1 Bc5 Bxc5 bxc5 c4 Re8 Kf1 f5 Ke1 Nxf3+ Kd1 Rd8+ Kc1 Nd2 Ra5 Qxf2 Rf1 Qxe2 Rd1 Nxc4 Rxd8+ Kxd8 Rxc5 Qd2+ Kb1 Qd1+ Ka2 Qxc2+ Ka1 Qb2#,
1977,e4,
1978,b3 g6,
1979,d4 e5 dxe5 Bb4+ Nd2 Qg5 b3 Nc6 Bb2 Nh6 g3 O-O f3 Re8 Bg2 Nxe5 Bxe5 Rxe5 Nh3 Rd5 Kf2 Rxd2 Qc1 Qe5 Ke1 Qxe2#,
1980,g3 d5 Bg2 e5 Nf3 e4 Nd4 Bc5 c3 Na6 e3 Nf6,
1981,b3 g6 Bb2 Nf6 Bxf6 exf6 Nc3 Bg7 g3 f5 Bg2 Bxc3 dxc3 Qe7,
1982,Nf3 e6 g3 Bd6 Bg2 Nf6 O-O O-O d4 e5 dxe5 Bc5 exf6 Qxf6 Bg5 Re8 Bxf6 gxf6 Qd5 d6 Re1 Nc6 e4 Nb4 Qb3 b6 c3 Nc6 Bh3 Ne7 Bxc8 Rexc8 e5 dxe5 Qc2 e4 Qxe4 Rcb8 Qf4 Rc8 Ne5 fxe5 Rxe5 Re8 Qg4+ Kh8 Rh5 Ng6 Na3 Bxa3 bxa3 Re4 Qxe4 h6 Rxh6+ Kg8 Qxa8+ Kg7 Rxg6+ fxg6 Re1 Kh6 Re4 c5 Rh4+ Kg5 Qd5+ Kf6 Rf4+ Kg7 Qe5+ Kh6 Rh4#,
1983,b3 f6 Bb2,
1984,d4 e6 e4 Qh4 Bg5 Qxg5,
1985,d4 c5 dxc5 f5 Bf4 e6 Bd6 Bxd6 cxd6 Nf6 Qd4 g6 Nf3 h6 Nbd2 f4 Ne4 Nxe4 Qxh8+ Kf7 Qxd8 h5 Ne5+ Kg7 O-O-O Nc6,
1986,d4 e6 Bf4,
1987,e4 e5 Nf3 Nc6 Bc4 Be7 d4 exd4 Nxd4 Ne5 Bb3 Nf6 O-O O-O Nd2 c5 f4 Ng6 Nf5 d5 Nxe7+ Qxe7 e5 Ne4 Nxe4 dxe4 Qd5 Bf5 Be3 b6 Rad1 Rad8 Qc4 Rxd1 Rxd1 Qh4 a4 Nxf4 Bxf4 Qxf4 Rf1 Qxe5 c3 Be6 Qb5 Bxb3 Qxb3 e3 Re1 e2 Qc2 Re8,
1988,d4 e6 e4 d5 e5 c5 c4 Nc6 Nf3 a6 cxd5 exd5 Be2 Bg4 O-O Bxf3 Bxf3 cxd4 Qb3 Nxe5 Bxd5 Nf6 Bxb7 Rb8 Qa4+ Qd7 Qxd7+ Nfxd7 f4 Rxb7 fxe5 Nxe5 Re1 Bd6 Bf4 f6 Nd2 O-O b3 Rd8 Rac1 Nd3 Bxd6 Nxe1 Rxe1 Rxd6 Nc4 Rdd7 Re8+ Kf7 Re1 d3 Rf1 Rd5 Rd1 d2 Rxd2 Rxd2 Nxd2 Ke6 Ne4 Rc7 Kf2 Rc2+ Kf3 h6 Nc5+ Rxc5,
1989,e4 e5 Nf3 d6 d4 exd4 Nxd4 Nf6 Nc3 g6 Bc4 Bg7 O-O O-O Bg5 Qd7 f3 c6 a4 b6 Nce2 Ba6 Bxa6 Nxa6 Nb3 Nc7 Nbd4 a6 Nc3 Ne6 Nxe6 Qxe6 Re1 Nh5 Ne2 Bxb2 Rb1 Ba3 Nd4 Qe5 Be3 c5 Nc6 Qe8 g4 Qxc6 gxh5 Bb4 Rf1 Qxa4 hxg6 fxg6 Qd5+ Kg7 Qxd6 Qxc2 Qe5+ Kg8 Bh6 Rxf3 Qg7#,
1990,e4 e6 d4 d5 Nc3 Nf6 Bg5 Be7 e5 Nfd7 Bxe7 Qxe7 f4 c5 Nb5 Nb6 Nd6+ Kf8 dxc5,
1991,d4 Nf6 e3 c5 c3 cxd4 cxd4 d5 Bd3 Nc6 a3 e5 Bb5 e4 Nc3 a6 Be2 Bd6 f3 O-O f4 Be6 Bd2 Qd7 Qc2 Rac8 h3 b5 Qd1 b4 axb4 Nxb4 g4 Qb7 g5 Nd7,
1992,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Bc5 c3 Nf6 O-O O-O d4 exd4 cxd4 Ba7 e5 Nd5 Bb3 Nb6 Bg5 Qe8 Re1 Kh8 d5 Na5 Bc2 d6 exd6 Qb5 Nc3 Qxb2 Qd3 g6,
1993,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 f4 Be7 Bd3 Qc7 Nf3 Nbd7 Qd2 b5 e5 dxe5 fxe5 Nxe5 Bxf6 Bxf6 Ne4 Nxf3+ gxf3 Bh4+ Nf2 Qe5+ Be2 Bb7 O-O Rd8 Nd3 Qxb2 Rfb1 Qd4+ Kh1 Bf6 Qa5 Qe3 Qxd8+ Kxd8,
