Question,Answer,Label,Score,Comment,Raw Answer
Puzzle 1 at step 1: player None takes cxd5 given FEN '3n3k/1p4rp/p1p2r2/2qP1p2/5P2/P4B1R/KP2Q3/7R b - - 1 42',"In the given FEN, the player controlling the white pieces has a knight on c3 and a pawn on d5. The player controlling the black pieces has a knight on c6 and a pawn on d5. The player controlling the white pieces can capture the black knight on c6 by moving their knight on c3 to d5, attacking the black knight on c6. This move is called ""cxd5"" and it is a legal move in chess. The move is also called ""capture"" or ""pawn capture"". The move is used to capture a pawn that is attacking your piece. In this case, the black knight on c6 is attacking the white knight on c3, so the white player can capture the black knight on c6 by moving their knight on c3 to d5."
Puzzle 81 at step 1: player None takes c4 given FEN 'rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2',"In the given FEN, the player controlling the white pieces has just played the move c4. This move is considered a solid opening move in chess and is often played by white to control the center of the board and prepare to develop their pieces. The move c4 also allows white to control the important squares d4 and e4, which are important for controlling the center and attacking the opponent's pieces. Overall, the move c4 is a common and effective opening move in chess."
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,['c4'],[None],nan
Puzzle 82 at step 1: player None takes Rd1 given FEN 'rn1q1rk1/1ppbbppp/p3pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - - 1 9',"In the given FEN, the piece on d1 is a rook (R). The rook is a powerful piece that can move horizontally or vertically across any number of squares, making it a valuable asset in the game. Therefore, it is likely that the player who controls the rook on d1 wants to use it to control important squares on the board and attack their opponent's pieces."
rn1q1rk1/1ppbbppp/p3pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - - 1 9,['Rd1'],[None],nan
Puzzle 83 at step 1: player None takes Bd3 given FEN 'r2qk2r/1bp1npb1/pp1ppnpp/8/P2PPB1P/2N2N2/1PPQBPP1/R3R1K1 w kq - 3 12',"In the given FEN, the player controlling the white pieces has a queen on d3 (Qd3) and a bishop on d3 (Bd3). The player controlling the black pieces has a queen on d8 (Qd8) and a bishop on d8 (Bd8).#linechange#linechangeIn the context given, the player controlling the white pieces is trying to checkmate the black king (K1) with their queen (Qd3). To do this, they need to move their queen to a square that puts the black king in check (threatens to capture the king).#linechange#linechangeSince the black king is on e1, the only way to put it in check is to move the white queen to e2 (Qe2). However, this move would put the white queen in check to the black queen on d8 (Qd8). To avoid this, the player controlling the white pieces moves their bishop on d3 (Bd3) to a different square, such as c3 or f3.#linechange#linechangeIn this case, the player chooses to move the bishop on d3 to c3 (Bc3), which puts the white queen in check to the black queen on d8 (Qd8) and also puts the black king in check to the white queen on e2 (Qe2). The player controlling the black pieces then moves their king to g1 (Kg1), which takes the white queen on e2 (Qe2) and ends the checkmate.#linechange#linechangeTherefore, the player controlling the white pieces moves their bishop on d3 (Bd3) to c3 (Bc3) to avoid putting their queen in check to the black queen on d8 (Qd8) and to put the black king in check to the white queen on e2 (Qe2)."
r2qk2r/1bp1npb1/pp1ppnpp/8/P2PPB1P/2N2N2/1PPQBPP1/R3R1K1 w kq - 3 12,['Bd3'],[None],nan
Puzzle 84 at step 1: player None takes Bxe3 given FEN '3r1rk1/1pp2n2/p1p5/N1P1p1bp/PP2P1p1/1R2B3/5PPP/R5K1 b - - 4 23',"In the given FEN, the player controlling the white pieces has a bishop on e3 (Bxe3). The player controlling the black pieces has a pawn on e3 (Pxe3). The player controlling the white pieces wants to capture the black pawn on e3, so they move their bishop to e3 (Bxe3). This move is legal because the bishop can capture the pawn on e3, and the pawn on e3 is in the path of the bishop's move."
3r1rk1/1pp2n2/p1p5/N1P1p1bp/PP2P1p1/1R2B3/5PPP/R5K1 b - - 4 23,['Bxe3'],[None],nan
Puzzle 85 at step 1: player None takes Rxe6 given FEN '3r2k1/1p4pp/3rR3/pPBp2b1/P1b5/Q6P/5PP1/R5K1 b - - 0 34',"In the given FEN, the player controlling the white pieces has a rook (R) on e6 and a pawn (P) on d5. The player controlling the black pieces has a rook (R) on e6 and a pawn (P) on d5. The player controlling the white pieces wants to capture the black rook on e6 with their rook on d5, which is a legal move in chess. Therefore, the player controlling the white pieces takes Rxe6."
3r2k1/1p4pp/3rR3/pPBp2b1/P1b5/Q6P/5PP1/R5K1 b - - 0 34,['Rxe6'],[None],nan
Puzzle 86 at step 1: player None takes Kg5 given FEN '8/5rpk/8/2R2K1P/6P1/8/8/8 w - - 23 81',"In the given FEN, the player controlling the white pieces has a king on g5 (Kg5). This is a common and safe position for the king in the opening stages of a game, as it allows the king to control the center of the board and protect itself from potential threats. Additionally, Kg5 allows the white player to develop their pieces and control the center of the board, which can be important in the early stages of the game."
8/5rpk/8/2R2K1P/6P1/8/8/8 w - - 23 81,['Kg5'],[None],nan
Puzzle 87 at step 1: player None takes Nc6 given FEN 'rn1q1rk1/5pb1/pp4pp/2pPp3/P3P3/2NQ2NP/1P3PP1/4RRK1 b - - 0 17',"In the given FEN, the player controlling the white pieces has just moved their knight from d4 to c6. This move is commonly referred to as ""playing Nc6"" or ""developing the knight.""#linechange#linechangeThe reason for this move is to improve the knight's defensive position and prepare it for future attacks. By moving the knight to c6, it becomes more difficult for the opponent's pieces to attack it directly, and it also gains access to important squares on the board. Additionally, the knight on c6 can potentially control important lines and diagonals, making it a valuable piece in the opening stages of the game.#linechange#linechangeOverall, playing Nc6 is a common and effective way to develop a knight in chess, and it can set the stage for a successful opening strategy."
rn1q1rk1/5pb1/pp4pp/2pPp3/P3P3/2NQ2NP/1P3PP1/4RRK1 b - - 0 17,['Nc6'],[None],nan
Puzzle 88 at step 1: player None takes Nc6 given FEN 'rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2',"In the given FEN, the piece Nc6 is not present. Therefore, there is no reason for None to take Nc6."
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,['Nc6'],[None],nan
Puzzle 89 at step 1: player None takes Nf4 given FEN 'r3r1k1/pb3ppp/1p1q4/3p4/4n3/3NP1P1/PPQ2PBP/R2R2K1 w - - 0 18',"In the given FEN, the player controlling the white pieces has a knight on f4 (Nf4). The knight on f4 is a strong piece that can control the center of the board and attack the opponent's pieces. It is also a good piece to develop early in the game, as it can quickly move to other squares and attack the opponent's pieces. Overall, the knight on f4 is a valuable piece in the opening stages of the game and can help white gain an advantage over black."
r3r1k1/pb3ppp/1p1q4/3p4/4n3/3NP1P1/PPQ2PBP/R2R2K1 w - - 0 18,['Nf4'],[None],nan
Puzzle 90 at step 1: player None takes f5 given FEN '2r4k/Q4pbp/6p1/3Bn3/1q6/6NP/PP2RPP1/6K1 b - - 2 31',"In the given FEN, the piece on f5 is a knight (N). Knights move in an L-shape, two squares in one direction and then one square perpendicular to that. The knight on f5 can move to e4, d3, or c3. However, since the knight on e4 is already present, the knight on f5 cannot move to e4. Similarly, since the knight on d3 is already present, the knight on f5 cannot move to d3. Therefore, the only legal move for the knight on f5 is to c3."
2r4k/Q4pbp/6p1/3Bn3/1q6/6NP/PP2RPP1/6K1 b - - 2 31,['f5'],[None],nan
Puzzle 91 at step 1: player None takes Qe2 given FEN 'q1nr2k1/5ppp/2b2b2/1pn1p3/4P3/N1P2N1P/1PB2PP1/2BQR1K1 w - - 5 20',"In the given FEN, the piece Qe2 is not present. Therefore, there is no need to explain why None takes Qe2."
q1nr2k1/5ppp/2b2b2/1pn1p3/4P3/N1P2N1P/1PB2PP1/2BQR1K1 w - - 5 20,['Qe2'],[None],nan
Puzzle 92 at step 1: player None takes Rxc4 given FEN '2rr2k1/4qppp/1p2p1n1/pN6/P1RR2n1/1P2P3/5PPP/4QBK1 b - - 0 23',"In the given FEN, the player controlling the white pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4). The player controlling the black pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4).#linechange#linechangeIn the context of the FEN, the player controlling the white pieces is trying to capture the black knight on c4 (Nc4) with their rook on c4 (Rc4). The player controlling the black pieces is trying to capture the white knight on c4 (Nc4) with their rook on c4 (Rc4).#linechange#linechangeIn the given FEN, the player controlling the white pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4). The player controlling the black pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4).#linechange#linechangeIn the context of the FEN, the player controlling the white pieces is trying to capture the black knight on c4 (Nc4) with their rook on c4 (Rc4). The player controlling the black pieces is trying to capture the white knight on c4 (Nc4) with their rook on c4 (Rc4).#linechange#linechangeIn the given FEN, the player controlling the white pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4). The player controlling the black pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4).#linechange#linechangeIn the context of the FEN, the player controlling the white pieces is trying to capture the black knight on c4 (Nc4) with their rook on c4 (Rc4). The player controlling the black pieces is trying to capture the white knight on c4 (Nc4) with their rook on c4 (Rc4).#linechange#linechangeIn the given FEN, the player controlling the white pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4). The player controlling the black pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4).#linechange#linechangeIn the context of the FEN, the player controlling the white pieces is trying to capture the black knight on c4 (Nc4) with their rook on c4 (Rc4). The player controlling the black pieces is trying to capture the white knight on c4 (Nc4) with their rook on c4 (Rc4).#linechange#linechangeIn the given FEN, the player controlling the white pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4). The player controlling the black pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4).#linechange#linechangeIn the context of the FEN, the player controlling the white pieces is trying to capture the black knight on c4 (Nc4) with their rook on c4 (Rc4). The player controlling the black pieces is trying to capture the white knight on c4 (Nc4) with their rook on c4 (Rc4).#linechange#linechangeIn the given FEN, the player controlling the white pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4). The player controlling the black pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4).#linechange#linechangeIn the context of the FEN, the player controlling the white pieces is trying to capture the black knight on c4 (Nc4) with their rook on c4 (Rc4). The player controlling the black pieces is trying to capture the white knight on c4 (Nc4) with their rook on c4 (Rc4).#linechange#linechangeIn the given FEN, the player controlling the white pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4). The player controlling the black pieces has a knight on c4 (Nc4) and a rook on c4 (Rc4).#linechange#linechangeIn the context of the FEN, the player controlling the white pieces is trying to capture the black knight on c4 (Nc4) with their rook on c4 (Rc4). The player controlling the black pieces is trying to capture the white knight"
2rr2k1/4qppp/1p2p1n1/pN6/P1RR2n1/1P2P3/5PPP/4QBK1 b - - 0 23,['Rxc4'],[None],nan
Puzzle 93 at step 1: player None takes Nxe5 given FEN 'rnbqkb1r/pppp1ppp/8/4p3/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4',"In the given FEN, the player with the white pieces has just captured the black knight on e5 with their knight (N). The move Nxe5 is a legal move in chess, and it is considered a good move in this particular situation because it allows white to gain a material advantage (a knight for a pawn) and opens up lines for their pieces. Additionally, the move Nxe5 is part of a common opening sequence in chess, known as the Ruy Lopez Opening, which can lead to a more favorable position for white."
rnbqkb1r/pppp1ppp/8/4p3/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,['Nxe5'],[None],nan
Puzzle 94 at step 1: player None takes Kd8 given FEN '2b5/Q1k3p1/2r1p3/3pP3/3P1N1P/3R1N2/1Pq3PK/2n5 b - - 2 41',"In the given FEN, the player controlling the white pieces has a king on d8 (Kd8). The player controlling the black pieces has a queen on e8 (Qe8) and a knight on f8 (Nf8). The player controlling the white pieces wants to castle kingside, which involves moving the king two squares towards the rook on the kingside and then placing the rook next to the king. To do this, the player must first move the knight on f8 to a square where it is not blocking the king's path. The only available square for the knight is d7, so the player moves the knight to d7 (Nd7). This move allows the player to castle kingside by moving the king two squares towards the rook on the kingside (Kd6) and then placing the rook next to the king (Rd1)."
2b5/Q1k3p1/2r1p3/3pP3/3P1N1P/3R1N2/1Pq3PK/2n5 b - - 2 41,['Kd8'],[None],nan
Puzzle 95 at step 1: player None takes Nc6 given FEN 'rnbqkbnr/pp1p1ppp/4p3/2p5/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3',"In the given FEN, the piece Nc6 is not present. Therefore, None cannot take Nc6."
rnbqkbnr/pp1p1ppp/4p3/2p5/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,['Nc6'],[None],nan
Puzzle 96 at step 1: player None takes Be3 given FEN 'r1bqkb1r/pp3ppp/2nppn2/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 2 7',"In the given FEN, the player controlling the white pieces has just played the move Be3. This move is considered a standard opening move in the Ruy Lopez opening, which is a popular opening in chess. The move Be3 allows the white player to control the center of the board and prepare to develop their pieces, while also preparing to castle kingside. The move also allows the white player to control the e4 pawn, which is a key pawn in the Ruy Lopez opening. Overall, the move Be3 is a solid choice in the given position and helps the white player to control the center of the board and prepare for the rest of the game."
r1bqkb1r/pp3ppp/2nppn2/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 2 7,['Be3'],[None],nan
Puzzle 97 at step 1: player None takes h3 given FEN '3r1nk1/p4p2/1pQP3p/1P2p1p1/8/6B1/1q3PPP/2R3K1 w - - 0 30',"In the given FEN, the piece on h3 is a knight. The knight moves in an L-shape, meaning it moves two squares in one direction and then one square perpendicular to that. In this case, the knight on h3 is attacking the black queen on g5, which is two squares to the left and one square up. Since the knight can only move two squares in one direction, it cannot move directly to g5, so it moves to h3 to attack the queen."
3r1nk1/p4p2/1pQP3p/1P2p1p1/8/6B1/1q3PPP/2R3K1 w - - 0 30,['h3'],[None],nan
Puzzle 98 at step 1: player None takes Qb4 given FEN '6k1/5pp1/2p1p3/2PnP3/3B4/q1p2KP1/2Q3P1/8 b - - 1 45',"In the given FEN, the player controlling the white pieces has a queen on the b4 square. The player controlling the black pieces has a queen on the b5 square. Therefore, the player controlling the white pieces cannot take the queen on the b4 square because it is already occupied by a black queen."
6k1/5pp1/2p1p3/2PnP3/3B4/q1p2KP1/2Q3P1/8 b - - 1 45,['Qb4'],[None],nan
Puzzle 99 at step 1: player None takes Qd6 given FEN 'r1b1kb1r/pp3ppp/n3pn2/3q4/8/2N5/PPPN1PPP/R1BQKB1R b KQkq - 3 8',"In the given FEN, the player controlling the white pieces has a queen on d6 (Qd6). This move is likely taken to control the center of the board and to prepare for potential attacks on the opponent's pieces. The queen on d6 also allows for control of the important squares e5 and f5, which can be used to attack the opponent's pieces and control the center of the board. Additionally, the queen on d6 can be used to support pawn advances on e4 and d4, which can help to open up lines for the white pieces and create opportunities for attacks. Overall, the queen on d6 is a powerful piece that can be used to control the center of the board and support pawn advances, making it a valuable move in the given position."
r1b1kb1r/pp3ppp/n3pn2/3q4/8/2N5/PPPN1PPP/R1BQKB1R b KQkq - 3 8,['Qd6'],[None],nan
Puzzle 100 at step 1: player None takes Bxe5 given FEN '1rbqr1k1/1p3pbp/p2p2p1/2pPn3/P3PB2/R4NP1/1PQ2PBP/4R1K1 w - - 3 17',"In the given FEN, the player controlling the white pieces has a knight on e5 (Bxe5) that is attacking the black pawn on e5 (bxe5). The black player has a bishop on c5 (Bc5) that is attacking the white knight on e5. The white player has a queen on d2 (Qd2) that is attacking the black bishop on c5. The black player has a queen on d8 (Qd8) that is attacking the white queen on d2. The white player has a rook on h1 (Rh1) that is attacking the black queen on d8. The black player has a rook on h8 (Rh8) that is attacking the white rook on h1. The white player has a pawn on h2 (Pah2) that is attacking the black rook on h8. The black player has a pawn on h7 (Ph7) that is attacking the white pawn on h2. The white player has a pawn on g2 (Pg2) that is attacking the black pawn on h7. The black player has a pawn on g7 (Ph7) that is attacking the white pawn on g2. The white player has a pawn on f2 (Pf2) that is attacking the black pawn on g7. The black player has a pawn on f7 (Ph7) that is attacking the white pawn on f2. The white player has a pawn on e2 (Pe2) that is attacking the black pawn on f7. The black player has a pawn on e7 (Ph7) that is attacking the white pawn on e2. The white player has a pawn on d2 (Pd2) that is attacking the black pawn on e7. The black player has a pawn on d7 (Ph7) that is attacking the white pawn on d2. The white player has a pawn on c2 (Pc2) that is attacking the black pawn on d7. The black player has a pawn on c7 (Ph7) that is attacking the white pawn on c2. The white player has a pawn on b2 (Pb2) that is attacking the black pawn on c7. The black player has a pawn on b7 (Ph7) that is attacking the white pawn on b2. The white player has a pawn on a2 (Pa2) that is attacking the black pawn on b7. The black player has a pawn on a7 (Ph7) that is attacking the white pawn on a2. The white player has a pawn on a1 (Pa1) that is attacking the black pawn on a7. The black player has a pawn on a8 (Ph7) that is attacking the white pawn on a1. The white player has a pawn on b1 (Pb1) that is attacking the black pawn on a8. The black player has a pawn on b8 (Ph7) that is attacking the white pawn on b1. The white player has a pawn on c1 (Pc1) that is attacking the black pawn on b8. The black player has a pawn on c8 (Ph7) that is attacking the white pawn on c1. The white player has a pawn on d1 (Pd1) that is attacking the black pawn on c8. The black player has a pawn on d8 (Ph7) that is attacking the white pawn on d1. The white player has a pawn on e1 (Pe1) that is attacking the black pawn on d8. The black player has a pawn on e8 (Ph7) that is attacking the white pawn on e1. The white player has a pawn on f1 (Pf1) that is attacking the black pawn on e8. The black player has a pawn on f8 (Ph7) that is attacking the white pawn on f1. The white player has a pawn on g1 (Pg1) that is attacking the black pawn on f8. The black player has a pawn on g8 (Ph7) that is attacking the white pawn on g1. The white player has a pawn on h1 (P"
1rbqr1k1/1p3pbp/p2p2p1/2pPn3/P3PB2/R4NP1/1PQ2PBP/4R1K1 w - - 3 17,['Bxe5'],[None],nan
/home/s448842/WorkSpace/github/cognitive_AI_experiments/cognition_framework/.././data/fen_next_best_move_sf_puzzle.csv,,,nan

8/5P2/2P4R/4p3/k1P3B1/2Q5/1P3PPP/4K1NR w K - 3 31,['Bd1#']
7r/R5bp/2p2QNk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 w - - 1 31,['Qxg7#']
6Q1/5R2/7k/8/P3p3/5P2/6KP/8 w - - 4 48,['Rh7#']
8/7k/5K2/6Q1/8/7p/7P/8 w - - 17 60,['Qg7#']
rn1Rr1k1/pq3ppp/1p2p3/2pbP3/2B5/5N2/PPP1QPPP/3R2K1 w - - 4 20,['Rxe8#']
r2q3k/ppp2p2/2nprp1B/2b1p3/4P1Q1/3P1N2/PPP2PPP/R4RK1 w - - 2 16,['Qg7#']
6k1/pp3ppp/8/4p1n1/8/BPP3P1/P2r1q1P/R6K b - - 1 33,['Qxh2#']
4r1k1/p7/2p3PQ/1p1p4/3P4/4P3/PPn3P1/5RK1 w - - 0 35,['Qh7#']
r2k3r/2pb1ppp/8/3p4/2q4P/P3pnP1/1KP2P2/R1B5 b - - 3 27,['Rb8#']
5k2/7p/3p2p1/Q7/P4q2/2P4P/6P1/4rRK1 b - - 2 33,['Rxf1#']
5rk1/5p1p/1Q1p2p1/p7/3Pn3/2p1P3/3q2PP/6RK b - - 4 32,['Nf2#']
2r1nrk1/pp2p2p/4P1p1/q2N4/3Q4/5P2/PPP3PP/2KR3R w - - 1 18,['Nxe7#']
r3k2r/ppp1bp1p/4N2B/8/8/P4P2/1PP3PP/2KRR3 w - - 1 21,['Nxc7#']
5b1r/p1N3p1/4Q3/3pN1kp/3Pn3/P3P2P/1BP2PP1/R3K2R w KQ - 1 27,['h4#']
2kr3r/ppp2p2/2n3p1/7p/3PN2q/PBP2Pb1/1P4P1/R2Q1RK1 b - - 2 20,['Qh2#']
5k2/1r6/p2N3p/1b1P2p1/1P2P3/P4P2/6PP/2r2RK1 b - - 1 31,['Rxf1#']
r7/pR5R/4k3/3p1p2/3P1P2/P1r1P1P1/7P/6K1 w - - 0 44,['Rh6#']
r6r/1p1k1ppp/pb3q2/1P1n4/8/N2R2P1/P1B2P1P/R4K2 b - - 0 27,['Qxf2#']
6k1/B4p1p/1P2p1p1/3pP1N1/P4P2/7P/rr6/7K b - - 0 32,['Ra1#']
2r4k/1p3p2/rp2pN1B/2p1P3/1P2p2R/P1n1P3/5P2/R3K3 w Q - 9 29,['Bf8#']
6k1/1bp2rrp/p5pR/Pp1p2q1/1PnPp1P1/2P1P1NR/4K2Q/4B3 b - - 1 29,['Qxg4#']
2kr1b1r/ppp2pp1/2n5/1B1p2Bp/P5n1/2NR4/1PP1QPPq/R4K2 b - - 1 17,['Qh1#']
6k1/p1pp2pp/1p1P1p2/1b6/1P6/P1KRr1P1/4r3/8 b - - 2 31,['Rxd3#']
6k1/R7/p7/1p5p/3r3P/8/P3R3/6K1 w - - 0 43,['Re8#']
6k1/3KP3/5PP1/7N/7P/8/8/8 w - - 1 68,['e8=R#']
8/p1q1k1p1/5pQ1/1p1Rb3/2p4P/K6R/Pr3P2/4r3 b - - 2 35,['Qa5#']
8/8/8/4KB2/5P2/5k1P/1pR5/6Q1 w - - 2 56,['Qf2#']
3r2k1/ppp2ppp/2p5/2K2Q2/8/1P2P2P/P3q3/R2Rb3 b - - 11 27,['Qb5#']
r5k1/p1p2ppp/2P5/1p3b1K/5q2/PB6/1PPN1N1P/3R3R b - - 2 20,['g6#']
8/5ppp/2Q5/3pB3/N1PPk1P1/4P2P/P4K2/3R4 w - - 3 30,['Qxd5#']
